person 1,person 2,jaccard similarity
A S Madhukumar,Alexei Sourin,0.25
A S Madhukumar,Anupam Chattopadhyay,0.18181818181818177
A S Madhukumar,Anwitaman Datta,0.1428571428571429
A S Madhukumar,Arvind Easwaran,0.1428571428571429
A S Madhukumar,Bo An,0.0
A S Madhukumar,Cham Tat Jen,0.5
A S Madhukumar,Chee Wei Tan,0.0
A S Madhukumar,Chen Change Loy,0.16666666666666663
A S Madhukumar,Chia Liang Tien,0.6666666666666667
A S Madhukumar,Chng Eng Siong,0.0
A S Madhukumar,Cong Gao,0.11111111111111116
A S Madhukumar,Deepu Rajan,0.6666666666666667
A S Madhukumar,Dmitrii Ustiugov,0.0
A S Madhukumar,Douglas Leslie Maskell,0.2222222222222222
A S Madhukumar,Dusit Niyato,0.5
A S Madhukumar,Erik Cambria,0.09999999999999998
A S Madhukumar,Goh Wooi Boon,0.4285714285714286
A S Madhukumar,Guan Cuntai,0.0
A S Madhukumar,He Ying,0.16666666666666663
A S Madhukumar,Huang Shell Ying,0.2222222222222222
A S Madhukumar,Hui Siu Cheung,0.5714285714285714
A S Madhukumar,Jagath Chandana Rajapakse,0.0
A S Madhukumar,Kwoh Chee Keong,0.09999999999999998
A S Madhukumar,Lam Kwok Yan,0.2222222222222222
A S Madhukumar,Lam Siew Kei,0.25
A S Madhukumar,Lee Bu Sung,0.5714285714285714
A S Madhukumar,Li Boyang,0.16666666666666663
A S Madhukumar,Li Mo,0.4285714285714286
A S Madhukumar,Li Yi,0.16666666666666663
A S Madhukumar,Lin Guosheng,0.16666666666666663
A S Madhukumar,Lin Shang-Wei,0.1428571428571429
A S Madhukumar,Liu Weichen,0.125
A S Madhukumar,Liu Yang,0.1428571428571429
A S Madhukumar,Liu Ziwei,0.16666666666666663
A S Madhukumar,Loke Yuan Ren,0.33333333333333337
A S Madhukumar,Long Cheng,0.0
A S Madhukumar,Lu Shijian,0.0
A S Madhukumar,Luo Jun,0.11111111111111116
A S Madhukumar,Luo Siqiang,0.16666666666666663
A S Madhukumar,Luu Anh Tuan,0.16666666666666663
A S Madhukumar,Miao Chun Yan,0.5714285714285714
A S Madhukumar,Mohamed M. Sabry,0.18181818181818177
A S Madhukumar,Oh Hong Lye,0.16666666666666663
A S Madhukumar,Ong Chin Ann,0.1428571428571429
A S Madhukumar,Owen Noel Newton Fernando,0.33333333333333337
A S Madhukumar,Pan Xingang,0.0
A S Madhukumar,Qian Kemao,0.375
A S Madhukumar,Seah Hock Soon,0.0
A S Madhukumar,Shen Zhiqi,0.0
A S Madhukumar,Siyuan Liu,0.0
A S Madhukumar,Smitha K G,0.2222222222222222
A S Madhukumar,Sourav Saha Bhowmick,0.09999999999999998
A S Madhukumar,Sun Aixin,0.0
A S Madhukumar,Tan Rui,0.5714285714285714
A S Madhukumar,Vidya Sudarshan,0.0
A S Madhukumar,Wai Kin Adams Kong,0.1428571428571429
A S Madhukumar,Wang Wenya,0.0
A S Madhukumar,Wee Keong NG,0.5
A S Madhukumar,Wei Yang Bryan Lim,0.0
A S Madhukumar,Wei Ying,0.0
A S Madhukumar,Wen Yonggang,0.5
A S Madhukumar,Wentong Cai,0.1428571428571429
